PID;Name;Title;PublicationType;ContentType;Journal;JournalISSN;Status;Volume;Issue;HostPublication;Year;Edition;Publisher;Series;SeriesISSN;ISBN;Urls;DOI;ISI;CreatedDate;PublicationDate;LastUpdated;FullTextLink;NumberOfAuthors;FridaLevel;PartOfThesis;PublicationSubtype;Conference
400814;"Johansson, Pauline [kjopa] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för hälso- och vårdvetenskap, HV [5455]);Petersson, Göran [epego] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för hälso- och vårdvetenskap, HV [5455]);Nilsson, Gunilla [wnigu] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för hälso- och vårdvetenskap, HV [5455])";Experience of using a personal digital assistant in nursing practice – a single case study;Artikel i tidskrift;Refereegranskat;Journal of Nursing Management;0966-0429;published;19;7;;2011;;Blackwell Publishing Ltd;;;;http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2834.2011.01261.x/abstract;10.1111/j.1365-2834.2011.01261.x;;28/02/11;28/02/11;23/11/12;;3;1;urn:nbn:se:lnu:diva-22399;;
401867;Sivefors, Per [psihum] [0000-0002-2469-6431] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för språk och litteratur, SOL [5458]);Prostituting my pen like a Curtizan : Thomas Nashe and the Embodiment of Manuscript Culture;Konferensbidrag;Övrigt vetenskapligt;;;;;;;2011;;;;;;;;;04/03/11;04/03/11;26/05/15;;1;0;;;
402159;"Brown, Alex (University of Reading);Bradley, Richard (University of Reading);Goldhahn, Joakim [egojo] [0000-0003-4640-8784] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]);Nord, Jenny (University of Lund);Skoglund, Peter;Yendell, Virgil";The environmental context of a prehistoric rock carving on the Bjäre Peninsula, southern Sweden;Artikel i tidskrift;Refereegranskat;Journal of Archaeological Science;0305-4403;published;38;3;;2011;;;;;;;10.1016/j.jas.2010.11.009;;07/03/11;07/03/11;18/02/15;;6;2;;;
402160;Goldhahn, Joakim [egojo] [0000-0003-4640-8784] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]);The key chain of archaeology is not stronger than its weakest link;Artikel i tidskrift;Refereegranskat;Current Swedish Archaeology;1102-7355;published;2010;18;;2011;;;;;;;;;07/03/11;07/03/11;18/02/15;;1;1;;;
402329;Goldhahn, Joakim [egojo] [0000-0003-4640-8784] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]);Skeppet som grav, kenotaf och geoglyf :  några tankar om bronsålderns skeppsformade stensättningar och deras betydelse;Kapitel i bok, del av antologi;Övrigt vetenskapligt;;;;;;Forntid längs ostkusten 2 : Baknkaholmsseminariet det tredje året, 2010;2011;;Västerviks Museum;;;978-91-977367-8-7;;;;07/03/11;07/03/11;18/02/15;;1;0;;;
402369;Goldhahn, Joakim [egojo] [0000-0003-4640-8784] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]);Törnsfall 107 – hällbilder vid ett röse och ett röse med hällbilder;Bok;Övrigt vetenskapligt;;;;;;;2011;;Linnéuniversitetet;"Kalmar Studies in Archaeology / University of Kalmar ; VIII";1653-431X;978-91-85993-43-7;;;;08/03/11;08/03/11;17/06/15;;1;0;;;
402831;Nordin, Andreas [anoiped] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för pedagogik, psykologi och idrottsvetenskap, PPI [5456]);Making the Lisbon strategy happen : a new phase of lifelong learning discourse in European policy?;Artikel i tidskrift;Refereegranskat;European Educational Research Journal (online);1474-9041;published;10;1;;2011;;;;;;;;;09/03/11;09/03/11;11/03/11;;1;1;;;
403739;Wallin Wictorin, Margareta [mwaiped] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]) (Forum för intermediala studier samt Concurrences);Kvinnlig lättja som motiv i ballad och bild.;Kapitel i bok, del av antologi;Övrigt vetenskapligt;;;;;;<em>Intermediala perspektiv på medeltida ballader</em>;2011;1;Gidlunds förlag;;;978-91-7844-819-7;;;;14/03/11;14/03/11;18/01/16;;1;1;;;
403763;Johansson, Karoline [kjnmsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]);Association between temperate distributions and analytical functions in the context of wave-front sets;Artikel i tidskrift;Refereegranskat;Journal of Pseudo-Differential Operators and Applications;1662-9981;published;2;1;;2011;;Birkhäuser;;;;;10.1007/s11868-011-0022-9;;12/03/11;15/03/11;10/04/13;;1;1;urn:nbn:se:lnu:diva-12963;;
404335;"Goldhahn, Joakim [egojo] [0000-0003-4640-8784] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]);Broström, Sven-Gunnar;Ihrestam, Kenneth;Wikell, Roger";Skålgropsfat, skeppshäll och solvagn – tre spektakulära nyfynd av hällbilder från Tjust vid Smålands norra kust.;Artikel i tidskrift;Övrigt vetenskapligt;Fornvännen;0015-7813;published;106;1;;2011;;;;;;;;;16/03/11;30/03/11;18/02/15;http://lnu.diva-portal.org/smash/get/diva2:404335/FULLTEXT01.pdf;4;1;;;
404338;Goldhahn, Joakim [egojo] [0000-0003-4640-8784] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]);Sveriges äldsta och norra Europas näst äldsta hällbildsdokumentationer – en notis om Johannis Haquini Rhezelius antikvariska resa till Öland och Småland 1634;Artikel i tidskrift;Övrigt vetenskapligt;Fornvännen;0015-7813;published;106;1;;2011;;;;;;;;;16/03/11;30/03/11;18/02/15;http://lnu.diva-portal.org/smash/get/diva2:404338/FULLTEXT01.pdf;1;1;;;
404646;"Lundström, L.;Rosén, R.;Baskaran, Karthikeyan [fbaka] [0000-0002-3745-0035] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Vision Enabling Lab);Jaeken, B.;Gustafsson, Jörgen [ggujo] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Artal, P.;Unsbo, P.";Symmetries in peripheral ocular aberrations;Artikel i tidskrift;Refereegranskat;Journal of Modern Optics;0950-0340;published;58;19-20 SI;;2011;;;;;;http://www.informaworld.com/10.1080/09500340.2011.564317;10.1080/09500340.2011.564317;;17/03/11;17/03/11;27/04/16;;7;1;urn:nbn:se:lnu:diva-22562;;
405037;"Andersson, Lina (current name Aldén, Lina) [lanehv] (Linnéuniversitetet [4853], Ekonomihögskolan (FEH) [12350], Institutionen för nationalekonomi och statistik (NS) [12357]);Hammarstedt, Mats [mhaiej] (Linnéuniversitetet [4853], Ekonomihögskolan (FEH) [12350], Institutionen för nationalekonomi och statistik (NS) [12357])";Ethnic enclaves, networks and self-employment among Middle Eastern immigrants in Sweden;Artikel i tidskrift;Refereegranskat;International migration (Geneva. Print);0020-7985;published;53;6;;2015;;;;;;;10.1111/j.1468-2435.2011.00714.x;3,67674E+11;21/03/11;21/03/11;28/01/16;;2;1;;;
405642;"Bouteillec Le, Nathalie;Bersbo, Zara [zbehum] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]);Festy, Patrick";Freedom to Divorce or Protection of marriage? : The Divorce Laws in Denmark, Norway and Sweden in the Early Twentieth Century;Artikel i tidskrift;Refereegranskat;Journal of Family History;0363-1990;published;36;2;;2011;;Sage;;;;;10.1177/0363199011398433;;23/03/11;23/03/11;16/01/12;;3;1;;;
406905;"Gustafsson, Eva [egukem] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464]);Lin, Leteng [llebie] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464]);Seemann, Martin C.;Rodin, Jennie;Strand, Michael [mstbie] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464])";Characterization of Particulate Matter in the Hot Product Gas from Indirect Steam Bubbling Fluidized Bed Gasification of Wood Pellets;Artikel i tidskrift;Refereegranskat;Energy & Fuels;0887-0624;published;25;4;;2011;;;;;;;10.1021/ef101710u;;29/03/11;29/03/11;25/02/14;;5;2;"urn:nbn:se:lnu:diva-11473;urn:nbn:se:lnu:diva-31347";;
406907;"Gustafsson, Eva [egukem] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464]);Lin, Leteng [llebie] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464]);Strand, Michael [mstbie] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464])";Characterization of particulate matter in the hot product gas from atmospheric fluidized bed biomass gasifiers;Artikel i tidskrift;Refereegranskat;Biomass and Bioenergy;0961-9534;published;35;Supplement 1;;2011;;;;;;;10.1016/j.biombioe.2011.02.053;;29/03/11;29/03/11;23/05/16;;3;1;"urn:nbn:se:lnu:diva-11473;urn:nbn:se:lnu:diva-31347";;
406928;Ammert, Niklas [eamni] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]);Om vad och hur 'må' ni berätta? : undervisning om Förintelsen och andra folkmord;Bok;Övrigt vetenskapligt;;;;;;;2011;;Forum för levande historia;"Forum för levande historias skriftserie ; 11";1653-5332;978-91-86261-13-9;;;;29/03/11;29/03/11;20/03/13;;1;0;;;
407352;"Andersson, Lina (current name Aldén, Lina) [lanehv] (Linnéuniversitetet [4853], Fakultetsnämnden för ekonomi och design [5452], Ekonomihögskolan, ELNU [5461]);Hammarstedt, Mats [mhaiej] (Linnéuniversitetet [4853], Fakultetsnämnden för ekonomi och design [5452], Ekonomihögskolan, ELNU [5461])";Invandrares egenföretagande - trender, branscher, storlek och resultat;Artikel i tidskrift;Övrigt vetenskapligt;Ekonomisk Debatt;0345-2646;published;39;2;;2011;;Nationalekonomiska föreningen;;;;http://ekonomistas.se/ekonomisk-debatt/2011-2/invandrares-egenforetagande-trender-branscher-storlek-och-resultat/;;;30/03/11;30/03/11;05/09/13;;2;0;;;
408969;Brommesson, Douglas [dbrsvi] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för samhällsvetenskaper, SV [5460]);Upprättandet av diplomatiska relationer mellan Sverige och Heliga stolen : Ett flerdimensionellt utrikespolitiskt beslut;Kapitel i bok, del av antologi;Övrigt vetenskapligt;;;;;;I Europamissionens tjänst : Vänbok till Rutger Lindahl;2011;1;Centrum för Europaforskning vid Göteborgs universitet;"Forskning om Europafrågor vid Göteborgs universitet ; 25";1104-5507;978-91-89608-32-1;;;;06/04/11;06/04/11;07/04/11;;1;0;;;
409293;"Tlustochowicz, Gabriela (Intitutionen för samhällsbyggnad och naturresurser, LTU) (Byggnadskonstruktion);Serrano, Erik [esabtk] [0000-0002-5333-0682] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464]) (Byggteknik);Steiger, René";State-of-the-art review on timber connections with glued-insteel rods;Artikel, forskningsöversikt;Refereegranskat;Materials and Structures;1359-5997;published;44;5;;2011;;;;;;;10.1617/s11527-010-9682-9;;07/04/11;07/04/11;28/09/15;;3;1;;;
409918;Holtorf, Cornelius [ehoco] [0000-0002-0557-9651] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]);“You call this archaeology?” asks Petersson : Comment on Petersson, Att gräva nuet...;Artikel i tidskrift;Övrigt vetenskapligt;In Situ archaeologica;2000-4044;published;11;;;2011;;;;;;;;;11/04/11;11/04/11;26/05/15;;1;0;;letter;
410041;"Weissbach, Astrid [eweas] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Marine Ecology);Bechemin, Christian (French research Institute for the exploitation of the sea (Ifremer), L`Houmeau, France) (Ressources and Environment Laboratory);Genauzeau, Sylvie (French research Institute for the exploitation of the sea (Ifremer), L`Houmeau, France) (Ressources and Environment Laboratory);Rudström, Maria (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Legrand, Catherine [nleca] [0000-0001-7155-3604] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Alfred Wegener Institute for Polar and Marine Research, Germany) (Marine Ecology)";Impact of <em>Alexandrium tamarense</em> allelochemicals on DOM dynamics in an estuarine microbial community;Artikel i tidskrift;Refereegranskat;Harmful Algae;1568-9883;published;13;;;2012;;;;;;;10.1016/j.hal.2011.10.003;;12/04/11;12/04/11;17/12/15;;5;1;urn:nbn:se:lnu:diva-11375;;
410091;"Ahmed, Ali [aahehv] (Linnéuniversitetet [4853], Fakultetsnämnden för ekonomi och design [5452], Ekonomihögskolan, ELNU [5461]);Andersson, Lina (current name Aldén, Lina) [lanehv] (Linnéuniversitetet [4853], Fakultetsnämnden för ekonomi och design [5452], Ekonomihögskolan, ELNU [5461]);Hammarstedt, Mats [mhaiej] (Linnéuniversitetet [4853], Fakultetsnämnden för ekonomi och design [5452], Ekonomihögskolan, ELNU [5461])";Does age matter for employability? A field experiment on ageism in the Swedish labor market;Artikel i tidskrift;Refereegranskat;Applied Economics Letters;1350-4851;published;19;4;;2012;;;;;;;10.1080/13504851.2011.581199;;12/04/11;12/04/11;05/09/13;;3;1;;;
410526;"Sahlin, Ullrika [ulsaaa] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Filipsson, Monika [efimo] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Öberg, Tomas [qobto] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463])";A risk assessment perspective of current practice in characterizing uncertainties in QSAR regression predictions;Artikel i tidskrift;Refereegranskat;Molecular Informatics;1868-1751;published;30;07/Jun;;2011;;;;;;;10.1002/minf.201000177;2,93848E+11;14/04/11;14/04/11;28/04/14;;3;0;;;
410590;Al-Talibi, Haidar [htamsi] (Linnéuniversitetet [4853], Fakulteten för teknik (FTK) [12354], Institutionen för matematik (MA) [12383]);Differentiable Approximation of Diffusion Equations Driven by _-Stable Lévy Noise;Artikel i tidskrift;Refereegranskat;Brazilian Journal of Probability and Statistics;0103-0752;published;27;4;;2013;;;;;;;10.1214/11-BJPS180;;14/04/11;14/04/11;06/11/13;;1;0;urn:nbn:se:lnu:diva-22233;;
410700;"Rosengren, Annika M. [uanan] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Karlsson, Björn C. G. [hkabj] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Näslund, Inga;Andersson, Per Ola;Nicholls, Ian A. [nniia] [0000-0002-0407-6542] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463])";In situ detection of warfarin using time-correlated single-photon counting.;Artikel i tidskrift;Refereegranskat;Biochemical and Biophysical Research Communications - BBRC;0006-291X;published;407;1;;2011;;;;;;;10.1016/j.bbrc.2011.02.103;;14/04/11;14/04/11;16/04/15;;5;1;;;
410802;"Olteanu, Constanta [eolco] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]);Olteanu, Lucian [luolaa] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466])";Similarity as a dimension of variation and its importance for students learning;Konferensbidrag;Refereegranskat;;;;;;Nordic Conference on Mathematics Education (NORMA11);2011;;;;;;;;;15/04/11;15/04/11;03/01/12;;2;0;;;Nordic Conference on Mathematics Education
410917;Olaussen, Maria [molhum] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för språk och litteratur, SOL [5458]) (Concurrences/Samtidigheter);Generation and complicity in Zoë Wicomb’s <em>Playing in the Light.</em>;Kapitel i bok, del av antologi;Refereegranskat;;;;;;<em>Exit. </em> : <em> Endings and New Beginnings in Literature and Life</em>;2011;;Rodopi;"Cross/cultures ; 130";0924-1426;978-90-420-3251-4;;;;15/04/11;15/04/11;03/04/13;;1;2;;;
412709;Al-Najjar, Basim [balsek] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464]) (Systemekonomi);Dynamic e-Maintenance : Applying eMaintenance Decision Support System (eMDSS) in Case Companies;Konferensbidrag;Refereegranskat;;;;;;7th IMA International Conference on Modelling in Industrial Maintenance and Reliability : Sidney Susses College, University of Cambrige, UK;2011;;Institute of Mathematics & its applications;;;978 0 905091 26 6;http://www.ima.org.uk/conferences/conferences_calendar/modelling_in_industrial_maintenance_and_reliability.cfm;;;26/04/11;26/04/11;14/07/11;;1;0;;;7th IMA International Conference on Modelling in Industrial Maintenance and Reliability
413005;"Mansour, Osama [omamsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Informatics);Abusalah, Mustafa (Knowledge Management);Askenäs, Linda [lasmsi] [0000-0002-8059-9150] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Informatics)";Wiki collaboration in organizaitons: an exploratory study;Konferensbidrag;Refereegranskat;;;;;;19th European Conference in Information Systems, Helsinki, Finland 9 - 11 June, 2011.;2011;;;;;;;;;27/04/11;28/04/11;27/04/16;http://lnu.diva-portal.org/smash/get/diva2:413005/FULLTEXT01.pdf;3;0;;;
413008;"Mansour, Osama [omamsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Informatics);Abusalah, Mustafa (Knowledge Management);Askenäs, Linda [lasmsi] [0000-0002-8059-9150] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Informatics)";Wiki-based Community Collaboration in Organizations;Konferensbidrag;Refereegranskat;;;;;;5th International Conference on Communities and Technologies, Brisbane, Australia,  29 June - 2 July.;2011;;;;;;;;;27/04/11;28/04/11;27/04/16;http://lnu.diva-portal.org/smash/get/diva2:413008/FULLTEXT01.pdf;3;0;;;
413096;Stensöta Olofsdotter, Helena [hstsvi] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för samhällsvetenskaper, SV [5460]);A public ethics of care for public administration;Konferensbidrag;Övrigt vetenskapligt;;;;;;;2011;;;;;;;;;27/04/11;27/04/11;22/03/13;;1;0;;;Northwestern Political Science
413354;"Kerren, Andreas [akemsi] [0000-0002-0519-2537] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (ISOVIS);Prangova, Mimi (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (ISOVIS);Paradis, Carita [cpahum] (Lund University, Centre for Languages and Literature)";Visualization of Sensory Perception Descriptions;Kapitel i bok, del av antologi;Refereegranskat;;;;;;Proceedings 15th International Conference on Information Visualisation (IV2011) : <em><em>London, United Kingdom 13 – 15 July 2011</em></em>;2011;;IEEE Computer Society;;;978-0-7695-4476-2;;10.1109/IV.2011.38;;28/04/11;28/04/11;01/09/14;;3;1;;;
413438;"Azimi Mousolou, Vahid [emova] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Physics);Canali, Carlo M. [tcico] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Physics);Sjöqvist, Erik (Uppsala University, Disciplinary Domain of Science and Technology, Chemistry, Department of Physical and Analytical Chemistry, Quantum Chemistry) (Quantum information theory)";Non-Abelian quantum holonomy of hydrogen-like atoms;Artikel i tidskrift;Refereegranskat;Physical Review A. Atomic, Molecular, and Optical Physics;1050-2947;published;84;3;;2011;;;;;;"http://arxiv/1103.2435;http://arxiv.org/PS_cache/arxiv/pdf/1103/1103.2435v1.pdf";10.1103/PhysRevA.84.032111;;28/04/11;28/04/11;10/01/14;;3;2;urn:nbn:se:lnu:diva-28311;;
413641;Wångmar, Erik [ewaadm] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för samhällsvetenskaper, SV [5460]);Sparsamhet och konservatism i högsätet : om bondeförbundaren Axel Rubbestad;Artikel i tidskrift;Refereegranskat;Personhistorisk Tidskrift;0031-5699;published;;1;;2011;;Personhistoriska samfundet;;;;;;;29/04/11;29/04/11;19/04/13;;1;1;;;
413737;Bergman, Ingrid-Maria [ebein] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Toll-like receptors (TLRs) and mannan-binding lectin (MBL) : On constant alert in a hostile environment;Artikel, forskningsöversikt;Refereegranskat;Uppsala Journal of Medical Sciences;0300-9734;published;116;2;;2011;;;;;;;10.3109/03009734.2010.545494;2,89467E+11;29/04/11;29/04/11;09/06/11;;1;1;;;
413947;"Gutzwiller-Helfenfinger, Eveline (University of Teacher Education of Central Switzerland, Lucerne, Switzerland);Tapola, Anna [etaan] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463])";Sharing data in international research – A theoretical discussion on pros, cons, and solutions. : EARLI (European Association for Research on Learning and Instruction) conference in Exeter, the UK, 30 August–3 September 2011.;Konferensbidrag;Refereegranskat;;;;;;;2011;;;;;;;;;01/05/11;01/05/11;12/01/12;;2;0;;;
413948;"Fritzén, Lena [lfriped] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för pedagogik, psykologi och idrottsvetenskap, PPI [5456]);Tapola, Anna [etaan] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463])";"The Linnaeus Project : SIG 13 Future &amp; Vision session";Konferensbidrag;Övrigt vetenskapligt;;;;;;;2011;;;;;;;;;01/05/11;01/05/11;15/01/13;;2;0;;;EARLI (European Association for Research on Learning and Instruction) conference in Exeter, the UK, 30 August–3 September.
413949;Tapola, Anna [etaan] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Human dignity in life-science research practice: A matter of critical socio-historical literacy :  ;Konferensbidrag;Refereegranskat;;;;;;Invited symposium at EARLI (European Association for Research on Learning and Instruction) conference in Exeter (the UK) 30 August–3 September 2011.;2011;;;;;;;;;01/05/11;01/05/11;12/01/12;;1;0;;;
413950;"Tapola, Anna [etaan] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Fritzén, Lena [lfriped] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för pedagogik, psykologi och idrottsvetenskap, PPI [5456])";Fear and self-appointed superiority: Two major hindrances in education for a global networked society. : EARLI (European Association for Research on Learning and Instruction) conference in Exeter, the UK, 30 August–3 September 2011.;Konferensbidrag;Refereegranskat;;;;;;;2011;;;;;;;;;01/05/11;01/05/11;20/04/15;;2;0;;;
413953;Tapola, Anna [etaan] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Human Dignity within Teacher Education: A Matter of Individualism, Competitiveness, and Strategic Rationality;Artikel i tidskrift;Refereegranskat;Teaching and Teacher Education: An International Journal of Research and Studies;0742-051X;published;27;8;;2011;;;;;;;10.1016/j.tate.2011.07.004;;01/05/11;01/05/11;19/12/12;;1;2;;;
414800;Rosenqvist, Johanna [jrodes] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för kulturvetenskaper, KV [5459]);The sewing circle method of working under cover;Konferensbidrag;Övrigt vetenskapligt;;;;;;;2011;;;;;;;;;04/05/11;04/05/11;14/07/11;;1;0;;;ISEA2011 ISTANBUL, The 17 th International Symposium on Electronic Art 14-21 September 2011
414856;"Svedberg, Petra (University College of Halmstad) (SAMMI);Johansson, Ingela (Linköpings universitet);Persson, Sylvi [speivosa] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för hälso- och vårdvetenskap, HV [5455]) (SAMMI);Roxberg, Åsa [aroivosa] [0000-0003-0017-5188] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för hälso- och vårdvetenskap, HV [5455]) (SAMMI);Fridlund, Bengt [bfiivosa] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för hälso- och vårdvetenskap, HV [5455]) (School of Health Sciences Jönköping University) (SAMMI);Baigi, Amir (SAMMI);Brunt, David [dbrivosa] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för hälso- och vårdvetenskap, HV [5455]) (SAMMI);Alm Roijer, Carin (Malmö högskola) (SAMMI);Malm, Dan (School of Health Sciences Jönköping University) (SAMMI);Rask, Mikael [mraivosa] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för hälso- och vårdvetenskap, HV [5455]) (SAMMI);Nilsson, Ulrica (Umeå Universitet, Örebro universitet) (SAMMI)";Psychometric evaluation of “The 25-item Sex after MI Knowledge Test” in a Swedish context;Artikel i tidskrift;Refereegranskat;Scandinavian Journal of Caring Sciences;0283-9318;published;26;1;;2012;;;;;;;10.1111/j.1471-6712.2011.00909.x;;04/05/11;04/05/11;04/03/16;http://lnu.diva-portal.org/smash/get/diva2:414856/FULLTEXT01.pdf;11;1;;;
